"sector_id","sector_nombre","variable_id","actividad_producto_nombre","indicador","unidad_de_medida","fuente","frecuencia_nombre","cobertura_nombre","alcance_tipo","alcance_id","alcance_nombre","indice_tiempo","valor"
99,"Indicadores Provinciales",984,"Mortalidad Materna","Tasa","por 10.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",2009-01-01,5.5
99,"Indicadores Provinciales",984,"Mortalidad Materna","Tasa","por 10.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",2010-01-01,4.3772878271725
99,"Indicadores Provinciales",984,"Mortalidad Materna","Tasa","por 10.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",2011-01-01,3.9839481189697
99,"Indicadores Provinciales",984,"Mortalidad Materna","Tasa","por 10.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",2012-01-01,3.4944292296815
99,"Indicadores Provinciales",984,"Mortalidad Materna","Tasa","por 10.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",2013-01-01,3.2467403389597
99,"Indicadores Provinciales",984,"Mortalidad Materna","Tasa","por 10.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",2014-01-01,3.7322460914375
99,"Indicadores Provinciales",984,"Mortalidad Materna","Tasa","por 10.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",2015-01-01,3.8699288348657
99,"Indicadores Provinciales",984,"Mortalidad Materna","Tasa","por 10.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",2016-01-01,3.3652228258257
99,"Indicadores Provinciales",984,"Mortalidad Materna","Tasa","por 10.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",2017-01-01,2.8668382038833
99,"Indicadores Provinciales",984,"Mortalidad Materna","Tasa","por 10.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",2018-01-01,3.7496680741296
99,"Indicadores Provinciales",984,"Mortalidad Materna","Tasa","por 10.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",2019-01-01,3.0058790517411
99,"Indicadores Provinciales",984,"Mortalidad Materna","Tasa","por 10.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",2020-01-01,4.1440167710796
99,"Indicadores Provinciales",984,"Mortalidad Materna","Tasa","por 10.000 nacidos vivos","MSAL","Anual","Nacional","PAIS","200","Argentina",2021-01-01,7.4179775535397
99,"Indicadores Provinciales",986,"Natalidad","Tasa","por 1.000 habitantes","MSAL","Anual","Nacional","PAIS","200","Argentina",1980-01-01,25
99,"Indicadores Provinciales",986,"Natalidad","Tasa","por 1.000 habitantes","MSAL","Anual","Nacional","PAIS","200","Argentina",1981-01-01,23.7
99,"Indicadores Provinciales",986,"Natalidad","Tasa","por 1.000 habitantes","MSAL","Anual","Nacional","PAIS","200","Argentina",1982-01-01,22.7
99,"Indicadores Provinciales",986,"Natalidad","Tasa","por 1.000 habitantes","MSAL","Anual","Nacional","PAIS","200","Argentina",1983-01-01,22.1
99,"Indicadores Provinciales",986,"Natalidad","Tasa","por 1.000 habitantes","MSAL","Anual","Nacional","PAIS","200","Argentina",1984-01-01,21.1
99,"Indicadores Provinciales",986,"Natalidad","Tasa","por 1.000 habitantes","MSAL","Anual","Nacional","PAIS","200","Argentina",1985-01-01,21.3
99,"Indicadores Provinciales",986,"Natalidad","Tasa","por 1.000 habitantes","MSAL","Anual","Nacional","PAIS","200","Argentina",1986-01-01,21.8
99,"Indicadores Provinciales",986,"Natalidad","Tasa","por 1.000 habitantes","MSAL","Anual","Nacional","PAIS","200","Argentina",1987-01-01,21.5
99,"Indicadores Provinciales",986,"Natalidad","Tasa","por 1.000 habitantes","MSAL","Anual","Nacional","PAIS","200","Argentina",1988-01-01,21.6
99,"Indicadores Provinciales",986,"Natalidad","Tasa","por 1.000 habitantes","MSAL","Anual","Nacional","PAIS","200","Argentina",1989-01-01,20.9
99,"Indicadores Provinciales",986,"Natalidad","Tasa","por 1.000 habitantes","MSAL","Anual","Nacional","PAIS","200","Argentina",1990-01-01,21
99,"Indicadores Provinciales",986,"Natalidad","Tasa","por 1.000 habitantes","MSAL","Anual","Nacional","PAIS","200","Argentina",1991-01-01,21.3
99,"Indicadores Provinciales",986,"Natalidad","Tasa","por 1.000 habitantes","MSAL","Anual","Nacional","PAIS","200","Argentina",1992-01-01,20.5
99,"Indicadores Provinciales",986,"Natalidad","Tasa","por 1.000 habitantes","MSAL","Anual","Nacional","PAIS","200","Argentina",1993-01-01,19.8
99,"Indicadores Provinciales",986,"Natalidad","Tasa","por 1.000 habitantes","MSAL","Anual","Nacional","PAIS","200","Argentina",1994-01-01,19.7
99,"Indicadores Provinciales",986,"Natalidad","Tasa","por 1.000 habitantes","MSAL","Anual","Nacional","PAIS","200","Argentina",1995-01-01,18.9
99,"Indicadores Provinciales",986,"Natalidad","Tasa","por 1.000 habitantes","MSAL","Anual","Nacional","PAIS","200","Argentina",1996-01-01,19.2
99,"Indicadores Provinciales",986,"Natalidad","Tasa","por 1.000 habitantes","MSAL","Anual","Nacional","PAIS","200","Argentina",1997-01-01,19.4
99,"Indicadores Provinciales",986,"Natalidad","Tasa","por 1.000 habitantes","MSAL","Anual","Nacional","PAIS","200","Argentina",1998-01-01,18.9
99,"Indicadores Provinciales",986,"Natalidad","Tasa","por 1.000 habitantes","MSAL","Anual","Nacional","PAIS","200","Argentina",1999-01-01,18.8
99,"Indicadores Provinciales",986,"Natalidad","Tasa","por 1.000 habitantes","MSAL","Anual","Nacional","PAIS","200","Argentina",2000-01-01,19
99,"Indicadores Provinciales",986,"Natalidad","Tasa","por 1.000 habitantes","MSAL","Anual","Nacional","PAIS","200","Argentina",2001-01-01,18.2
99,"Indicadores Provinciales",986,"Natalidad","Tasa","por 1.000 habitantes","MSAL","Anual","Nacional","PAIS","200","Argentina",2002-01-01,18.3
99,"Indicadores Provinciales",986,"Natalidad","Tasa","por 1.000 habitantes","MSAL","Anual","Nacional","PAIS","200","Argentina",2003-01-01,18.4
99,"Indicadores Provinciales",986,"Natalidad","Tasa","por 1.000 habitantes","MSAL","Anual","Nacional","PAIS","200","Argentina",2004-01-01,19.3
99,"Indicadores Provinciales",986,"Natalidad","Tasa","por 1.000 habitantes","MSAL","Anual","Nacional","PAIS","200","Argentina",2005-01-01,18.5
99,"Indicadores Provinciales",986,"Natalidad","Tasa","por 1.000 habitantes","MSAL","Anual","Nacional","PAIS","200","Argentina",2006-01-01,17.9
99,"Indicadores Provinciales",986,"Natalidad","Tasa","por 1.000 habitantes","MSAL","Anual","Nacional","PAIS","200","Argentina",2007-01-01,17.8
99,"Indicadores Provinciales",986,"Natalidad","Tasa","por 1.000 habitantes","MSAL","Anual","Nacional","PAIS","200","Argentina",2008-01-01,18.8
99,"Indicadores Provinciales",986,"Natalidad","Tasa","por 1.000 habitantes","MSAL","Anual","Nacional","PAIS","200","Argentina",2009-01-01,18.6
99,"Indicadores Provinciales",986,"Natalidad","Tasa","por 1.000 habitantes","MSAL","Anual","Nacional","PAIS","200","Argentina",2010-01-01,18.662279781133
99,"Indicadores Provinciales",986,"Natalidad","Tasa","por 1.000 habitantes","MSAL","Anual","Nacional","PAIS","200","Argentina",2011-01-01,18.533809467738
99,"Indicadores Provinciales",986,"Natalidad","Tasa","por 1.000 habitantes","MSAL","Anual","Nacional","PAIS","200","Argentina",2012-01-01,17.884903820782
99,"Indicadores Provinciales",986,"Natalidad","Tasa","por 1.000 habitantes","MSAL","Anual","Nacional","PAIS","200","Argentina",2013-01-01,17.88034410403
99,"Indicadores Provinciales",986,"Natalidad","Tasa","por 1.000 habitantes","MSAL","Anual","Nacional","PAIS","200","Argentina",2014-01-01,18.210009491557
99,"Indicadores Provinciales",986,"Natalidad","Tasa","por 1.000 habitantes","MSAL","Anual","Nacional","PAIS","200","Argentina",2015-01-01,17.853116178381
99,"Indicadores Provinciales",986,"Natalidad","Tasa","por 1.000 habitantes","MSAL","Anual","Nacional","PAIS","200","Argentina",2016-01-01,16.701740164249
99,"Indicadores Provinciales",986,"Natalidad","Tasa","por 1.000 habitantes","MSAL","Anual","Nacional","PAIS","200","Argentina",2017-01-01,15.997548496689
99,"Indicadores Provinciales",986,"Natalidad","Tasa","por 1.000 habitantes","MSAL","Anual","Nacional","PAIS","200","Argentina",2018-01-01,15.404015534324
99,"Indicadores Provinciales",986,"Natalidad","Tasa","por 1.000 habitantes","MSAL","Anual","Nacional","PAIS","200","Argentina",2019-01-01,13.917644101593
99,"Indicadores Provinciales",986,"Natalidad","Tasa","por 1.000 habitantes","MSAL","Anual","Nacional","PAIS","200","Argentina",2020-01-01,11.752689366582
99,"Indicadores Provinciales",986,"Natalidad","Tasa","por 1.000 habitantes","MSAL","Anual","Nacional","PAIS","200","Argentina",2021-01-01,11.565345806119
