"provincia_id","provincia_nombre","pais_origen","sexo","edad_quinquenal","cantidad"
62,"RIO NEGRO","Otro país","MUJER","10 a 14",77
62,"RIO NEGRO","Otro país","MUJER","15 a 19",89
62,"RIO NEGRO","Otro país","MUJER","20 a 24",77
62,"RIO NEGRO","Otro país","MUJER","25 a 29",100
62,"RIO NEGRO","Otro país","MUJER","30 a 34",170
62,"RIO NEGRO","Otro país","MUJER","35 a 39",164
62,"RIO NEGRO","Otro país","MUJER","40 a 44",175
62,"RIO NEGRO","Otro país","MUJER","45 a 49",124
62,"RIO NEGRO","Otro país","MUJER","50 a 54",101
62,"RIO NEGRO","Otro país","MUJER","55 a 59",86
62,"RIO NEGRO","Otro país","MUJER","60 a 64",76
62,"RIO NEGRO","Otro país","MUJER","65 a 69",67
62,"RIO NEGRO","Otro país","MUJER","70 a 74",71
62,"RIO NEGRO","Otro país","MUJER","75 a 79",78
62,"RIO NEGRO","Otro país","MUJER","80 a 84",48
62,"RIO NEGRO","Otro país","MUJER","85 a 89",51
62,"RIO NEGRO","Otro país","MUJER","90 a 94",25
62,"RIO NEGRO","Otro país","MUJER","95 y más",8
62,"RIO NEGRO","Otro país","VARON","0 a 4",19
62,"RIO NEGRO","Otro país","VARON","5 a 9",49
62,"RIO NEGRO","Otro país","VARON","10 a 14",58
62,"RIO NEGRO","Otro país","VARON","15 a 19",83
62,"RIO NEGRO","Otro país","VARON","20 a 24",110
62,"RIO NEGRO","Otro país","VARON","25 a 29",122
62,"RIO NEGRO","Otro país","VARON","30 a 34",137
62,"RIO NEGRO","Otro país","VARON","35 a 39",158
62,"RIO NEGRO","Otro país","VARON","40 a 44",173
62,"RIO NEGRO","Otro país","VARON","45 a 49",154
62,"RIO NEGRO","Otro país","VARON","50 a 54",110
62,"RIO NEGRO","Otro país","VARON","55 a 59",119
62,"RIO NEGRO","Otro país","VARON","60 a 64",73
62,"RIO NEGRO","Otro país","VARON","65 a 69",83
62,"RIO NEGRO","Otro país","VARON","70 a 74",69
62,"RIO NEGRO","Otro país","VARON","75 a 79",71
62,"RIO NEGRO","Otro país","VARON","80 a 84",40
62,"RIO NEGRO","Otro país","VARON","85 a 89",33
62,"RIO NEGRO","Otro país","VARON","90 a 94",13
62,"RIO NEGRO","Otro país","VARON","95 y más",3
66,"SALTA","Otro país","MUJER","0 a 4",16
66,"SALTA","Otro país","MUJER","5 a 9",45
66,"SALTA","Otro país","MUJER","10 a 14",58
66,"SALTA","Otro país","MUJER","15 a 19",54
66,"SALTA","Otro país","MUJER","20 a 24",112
66,"SALTA","Otro país","MUJER","25 a 29",146
66,"SALTA","Otro país","MUJER","30 a 34",122
66,"SALTA","Otro país","MUJER","35 a 39",145
66,"SALTA","Otro país","MUJER","40 a 44",91
66,"SALTA","Otro país","MUJER","45 a 49",95
66,"SALTA","Otro país","MUJER","50 a 54",78
66,"SALTA","Otro país","MUJER","55 a 59",70
66,"SALTA","Otro país","MUJER","60 a 64",49
66,"SALTA","Otro país","MUJER","65 a 69",44
66,"SALTA","Otro país","MUJER","70 a 74",42
66,"SALTA","Otro país","MUJER","75 a 79",26
66,"SALTA","Otro país","MUJER","80 a 84",35
66,"SALTA","Otro país","MUJER","85 a 89",18
66,"SALTA","Otro país","MUJER","90 a 94",7
66,"SALTA","Otro país","MUJER","95 y más",2
66,"SALTA","Otro país","VARON","0 a 4",14
66,"SALTA","Otro país","VARON","5 a 9",49
66,"SALTA","Otro país","VARON","10 a 14",57
66,"SALTA","Otro país","VARON","15 a 19",71
66,"SALTA","Otro país","VARON","20 a 24",196
66,"SALTA","Otro país","VARON","25 a 29",214
66,"SALTA","Otro país","VARON","30 a 34",297
66,"SALTA","Otro país","VARON","35 a 39",174
66,"SALTA","Otro país","VARON","40 a 44",147
66,"SALTA","Otro país","VARON","45 a 49",152
66,"SALTA","Otro país","VARON","50 a 54",133
66,"SALTA","Otro país","VARON","55 a 59",135
66,"SALTA","Otro país","VARON","60 a 64",77
66,"SALTA","Otro país","VARON","65 a 69",68
66,"SALTA","Otro país","VARON","70 a 74",65
66,"SALTA","Otro país","VARON","75 a 79",52
66,"SALTA","Otro país","VARON","80 a 84",26
66,"SALTA","Otro país","VARON","85 a 89",13
66,"SALTA","Otro país","VARON","90 a 94",6
66,"SALTA","Otro país","VARON","95 y más",1
70,"SAN JUAN","Otro país","MUJER","0 a 4",8
70,"SAN JUAN","Otro país","MUJER","5 a 9",18
70,"SAN JUAN","Otro país","MUJER","10 a 14",28
70,"SAN JUAN","Otro país","MUJER","15 a 19",37
70,"SAN JUAN","Otro país","MUJER","20 a 24",40
70,"SAN JUAN","Otro país","MUJER","25 a 29",42
70,"SAN JUAN","Otro país","MUJER","30 a 34",71
70,"SAN JUAN","Otro país","MUJER","35 a 39",59
70,"SAN JUAN","Otro país","MUJER","40 a 44",52
70,"SAN JUAN","Otro país","MUJER","45 a 49",48
70,"SAN JUAN","Otro país","MUJER","50 a 54",30
70,"SAN JUAN","Otro país","MUJER","55 a 59",23
70,"SAN JUAN","Otro país","MUJER","60 a 64",27
70,"SAN JUAN","Otro país","MUJER","65 a 69",16
70,"SAN JUAN","Otro país","MUJER","70 a 74",9
70,"SAN JUAN","Otro país","MUJER","75 a 79",15
70,"SAN JUAN","Otro país","MUJER","80 a 84",10
70,"SAN JUAN","Otro país","MUJER","85 a 89",2
70,"SAN JUAN","Otro país","MUJER","90 a 94",1
70,"SAN JUAN","Otro país","MUJER","95 y más",1
70,"SAN JUAN","Otro país","VARON","0 a 4",8
70,"SAN JUAN","Otro país","VARON","5 a 9",20
70,"SAN JUAN","Otro país","VARON","10 a 14",27
70,"SAN JUAN","Otro país","VARON","15 a 19",50
70,"SAN JUAN","Otro país","VARON","20 a 24",31
70,"SAN JUAN","Otro país","VARON","25 a 29",29
70,"SAN JUAN","Otro país","VARON","30 a 34",99
70,"SAN JUAN","Otro país","VARON","35 a 39",102
70,"SAN JUAN","Otro país","VARON","40 a 44",95
70,"SAN JUAN","Otro país","VARON","45 a 49",75
70,"SAN JUAN","Otro país","VARON","50 a 54",58
70,"SAN JUAN","Otro país","VARON","55 a 59",47
70,"SAN JUAN","Otro país","VARON","60 a 64",44
70,"SAN JUAN","Otro país","VARON","65 a 69",29
70,"SAN JUAN","Otro país","VARON","70 a 74",23
70,"SAN JUAN","Otro país","VARON","75 a 79",17
70,"SAN JUAN","Otro país","VARON","80 a 84",16
70,"SAN JUAN","Otro país","VARON","85 a 89",3
70,"SAN JUAN","Otro país","VARON","95 y más",1
74,"SAN LUIS","Otro país","MUJER","0 a 4",1
